ID;Session;Period;Session_type;Final_payoff;Lottery;Lottery_payoff;Game_payoff;Period_paid;Currency;Risk_order;ShowUp_fee;EG_q1;EG_q2;EG_q3;EG_q_env1;EG_q_env2;EG_q_ultimatum;Role;Payoff;w;T;a;Good_state;Partner_lottery;Group;Survey_payoff;Survey_strategy;Survey_risk;Survey_genre;Survey_age;Survey_BACplus;Survey_field;Survey_lot;Survey_lot_comment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;1;alpha_25;4;1;4;0;7;0,8;1;5;0;0;1;1;0;0;Retailer;-1;0,3;0,01;1;0;5;6;0;Je faisait la somme de ce que je pouvais gagner pour chaque environnement, sachant que l'environnement 2 a plus la probabilité de sortir j'ai osé pas accepter les offres ou je pouvais perdre plus de 2 points.;1;f;20;1;shs;1;J'ai observé une relation entre la loteries des personnes qui ont mis 12 et 0 et leur offres risquée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;1;alpha_25;1;5;1;0;7;0,8;1;5;0;1;1;1;0;0;Manufacturer;1;0,3;0,01;1;0;1;6;0;Montrer au receveur qu'il aller avoir un gain tout en favorisant mon gain ;8;f;22;4;droit-iep-gestion-comm;1;En essayant de mettre le moins de perte possible dans l'univer B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;1;alpha_25;0;1;4;-5;7;0,8;1;5;0;0;1;1;0;0;Retailer;10;0,35;0;1;1;5;7;0;J'ai essayé d'accepter quand j'étais gagnante et ce même avec seulement 25% de chances de gagner. Cela dit je ne suis pas réellement convaincue de cette méthode. Chaque choix était accompagné de doutes.;5;f;22;4;droit-iep-gestion-comm;1;En me faisant des minis TIP sur le joueur, s'il a choisit telle loterie c'est peut-être ce genre de personnes, etc. Pas sûre que cela ait réellement affecté mes réponses, cependant. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;1;alpha_25;9,8;5;1;11;7;0,8;1;5;0;0;1;1;0;0;Manufacturer;11;0,35;0;1;1;1;7;0;J'experimentais plusieurs combinaisons;10;f;19;2;eco;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;1;alpha_25;5;2;5;0;7;0,8;1;5;0;0;1;1;0;0;Retailer;0;0,3;0,01;0;NA;5;8;0;Je comparais les valeurs que je pouvais perdre et gagner, sachant que si je perdais gros je refusais et vice-versa...;6;m;18;0;shs;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;1;alpha_25;1,8;5;1;1;7;0,8;1;5;0;0;1;1;0;0;Manufacturer;0;0,3;0,01;0;NA;2;8;0;J'ai mis du temps à trouver une stratégie, car je voulais que cela soit le plus équitable pour nous deux quite à gagner moins. Lui donner beaucoup dans l'environnement A, éviter une perte trop importante pour lui dans l'environnement B.;7;f;21;4;bio-chim-sante-staps;1;Si il prenait un peu des risques ou si il avait choisi la loterie 4/4 je voyais que son intérêt était de gagner quelque chose alors j'augmentais l'envt A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1;1;alpha_25;4,8;1;4;1;7;0,8;1;5;0;0;1;1;0;0;Retailer;0;0,35;0;1;0;4;9;0;"Je pars du principe que avec 75% de chance de tomber sur l'environemment B je ne doit pas prendre le risque de perdre de l'argent bêtement, ducoup dès lors que les gains était supérieur a -1 je refusais, -1 était un ""risque"" acceptable mais au dela non.";1;m;22;2;sh-arts-langues;1;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;1;alpha_25;11,2;4;8;4;7;0,8;1;5;0;0;1;1;0;0;Manufacturer;0;0,35;0;1;0;1;9;0;De lui proposer plus en environnement A mais gagner toujours si environnement B;3;m;20;1;inge-info-phy;1;Je mettait 3UME si loterie 1 et 5UME si loterie 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;1;alpha_25;9,4;3;3;8;7;0,8;1;5;0;0;1;1;0;0;Manufacturer;1;0,3;0,01;1;0;1;10;0;J'ai essayé de minimiser les pertes autant pour l'autre que pour moi. Personne ne veut perdre de l'argent, il fallait décider et c'était la solution la plus viable pour moi.;4;m;18;0;droit-iep-gestion-comm;1;Si l'autre avait une chance de gagner peu à la loterie, j'ai essayé de réduire au maximum les pertes de l'environnement B tout en augmentant un peu plus ses gains dans l'environnement A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;1;alpha_25;4;1;4;0;7;0,8;1;5;0;0;1;1;0;0;Retailer;-1;0,3;0,01;1;0;3;10;0;Deux points pour chaque offre : esperence de gain positive et risques pas trop élevés;3;m;21;3;inge-info-phy;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;alpha_25;4;1;4;0;7;0,8;1;5;1;0;1;1;0;0;Retailer;-1;0,3;0,01;1;0;3;11;0;dans la vie courant, lorsqu'une personne fait une offre a un client, c'est elle qui doit prendre des risque et non client. Donc c'est l'offreur qui doir prendre des risque en peut etre perdant des gains ;6;m;18;0;eco;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1;1;alpha_25;3;3;3;0;7;0,8;1;5;1;0;1;1;0;0;Manufacturer;1;0,3;0,01;1;0;1;11;0;Il avait 25% de chance de gagner un peu plus que moi, et 75 % de perdre une somme relativement petite. Ca mettait les gens en confiance, et je suis donc relativement gagnante car dans tout les cas je gagnerais une somme, ce qui n'est pas son cas.;7;f;20;3;bio-chim-sante-staps;1;Je regardais si la personne était joueuse ou non, et en fonction j'augmentais ou diminuait la perte qu'elle pouvait encourrir.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;1;alpha_25;4;1;4;0;7;0,8;1;5;1;0;1;0;1;0;Retailer;0;0,4;0;1;0;3;12;0;limiter au maximum les pertes;3;f;18;0;shs;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;1;alpha_25;6;3;6;0;7;0,8;1;5;0;0;1;1;0;0;Manufacturer;0;0,4;0;1;0;1;12;0;Je propose une offre risqué à l'autre participant mais qui dans tout les cas me rapportent un minimum d'UME;3;m;19;3;inge-info-phy;1;Je regarde si le candidat est prédisposé à prendre des risques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;1;alpha_25;5;2;5;0;9;0,8;NA;5;1;0;1;1;0;0;Retailer;0;0,15;0,04;0;NA;3;12;0;pas supérieur à -3 UME de perte;3;f;31;5;bio-chim-sante-staps;1;Essayé de refuser plus que d'accept.er;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;alpha_25;5;2;3,5;0;9;0,8;NA;5;0;1;1;1;1;0;Retailer;9;0,35;0,01;1;1;3;8;0;Ne pas accepter l'offre si dans 75% des cas je perds + de 1 UME.;7;f;19;2;eco;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2;1;alpha_25;5;4;2;1;9;0,8;NA;5;0;0;1;1;0;0;Manufacturer;0;0,05;0,04;0;NA;1;7;0;au bout de quelques round ma stratégie finale a été de prendre moins de risques pour éviter les situations de refus. Du coup je m'assurais de gagner quelque chose quelque soit le tirage d'environnement même si le gain est très faible (+1 pour l'environnement B qui est le plus probable, et +7 pour l'environnement A);4;f;22;3;droit-iep-gestion-comm;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2;1;alpha_25;5;1;4;0;9;0,8;NA;5;0;0;1;1;0;0;Retailer;0;-0,55;0,25;0;NA;5;5;0;"calcul de l'espérance mathématique des gains pour moi  si >= 0 ; accepté en général";3;m;23;4;eco;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2;1;alpha_25;6;3;6;0;9;0,8;NA;5;0;0;1;1;0;0;Manufacturer;0;0,15;0,04;0;NA;2;12;0;Ma stratégie était de recevoir moins de gains dans l'environnement A afin d'obtenir une plus importante somme dans l'environnement B qui a une plus forte probabilité d'être tirée au sort.;5;m;20;2;sh-arts-langues;1;J'ai essayé d'analyser le comportement de la personne en me demandant si c'était une personne qui prenait des risques ou non.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2;1;alpha_25;5;1;4;0;9;0,8;NA;5;0;0;1;0;0;0;Retailer;-3;0,2;0,03;1;0;6;4;0;je regarde la perte et le gain de l'autre joueur et je la compare à la mienne.;7;m;20;2;bio-chim-sante-staps;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
